SL,District,Sq No,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
125,Bandarban,125,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,04,,,,Master Para,মাস্টার পাড়া,RAM401,22.994196,91.737564,3084,,,,,,,,,,,,,,,,,,,,
126,Bandarban,126,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,04,,,,Kam Para,কম পাড়া,RAM402,22.987879,91.743989,300,,,,,,,,,,,,,,,,,,,,
127,Bandarban,127,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,05,,,,Chowdhury Para,চৌধুরী পাড়া,RAM501,22.987487,91.736693,2200,,,,,,,,,,,,,,,,,,,,
128,Bandarban,128,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,05,,,,Bairagi Tila,বৈরাগী টিলা,RAM502,22.979950,91.738474,1300,,,,,,,,,,,,,,,,,,,,
129,Bandarban,129,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,05,,,,Baidytila,বৈদ্যটিলা,RAM503,22.981818,91.742950,1044,,,,,,,,,,,,,,,,,,,,
130,Bandarban,130,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,06,,,,Taichala Para,তৈচালা পাড়া,RAM601,22.984096,91.754347,1820,,,,,,,,,,,,,,,,,,,,
131,Bandarban,131,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,06,,,,Kailas Para,কৈলাস পাড়া,RAM602,22.993206,91.751706,124,,,,,,,,,,,,,,,,,,,,
132,Bandarban,132,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,06,,,,43 BGB Headquarter,৪৩ বিজিবি হেডকোয়ার্টার,RAM603,22.984239,91.750221,,,,,,,,,,,,,,,,,,,,,
133,Bandarban,133,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,07,,,,Kaladeba,কালাডেবা,RAM701,22.971097,91.742365,2040,,,,,,,,,,,,,,,,,,,,
134,Bandarban,134,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,07,,,,Samprue Para,সম্প্রু পাড়া,RAM702,22.974154,91.734517,168,,,,,,,,,,,,,,,,,,,,
135,Bandarban,135,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,07,,,,Uttar Lamku Para,উত্তর লামকু পাড়া,RAM703,22.971643,91.732985,1420,,,,,,,,,,,,,,,,,,,,
136,Bandarban,136,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,07,,,,Nazirtila,নজিরটিলা,RAM704,22.975821,91.730796,1160,,,,,,,,,,,,,,,,,,,,
137,Bandarban,137,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,07,,,,Bagan Tila,বাগান টিলা,RAM705,22.969218,91.724340,576,,,,,,,,,,,,,,,,,,,,
138,Bandarban,138,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,08,,,,Fenir Kul,ফেনীর কুল,RAM801,22.985202,91.722385,2440,,,,,,,,,,,,,,,,,,,,
139,Bandarban,139,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,08,,,,Sadukarbari Para,সদুকারবারি পাড়া,RAM802,22.977545,91.720201,2200,,,,,,,,,,,,,,,,,,,,
140,Bandarban,140,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,09,,,,Mahamuni Para,মহামুনি পাড়া,RAM901,22.992768,91.724856,532,,,,,,,,,,,,,,,,,,,,
141,Bandarban,141,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,09,,,,Daroga Para,দারোগা পাড়া,RAM902,22.997862,91.729193,1080,,,,,,,,,,,,,,,,,,,,
142,Bandarban,142,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,09,,,,Ramgar Bazar,রামগড় বাজার ,RAM903,22.999811,91.734298,1448,,,,,,,,,,,,,,,,,,,,
143,Bandarban,143,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,09,,,,Mahamuni Para BGB Camp,মহামুনি পাড়া বিজিবি ক্যাম্প,RAM904,22.990692,91.724738,,,,,,,,,,,,,,,,,,,,,
